book_names,book_urls,author_name,avg_rating,no_of_ratings,img_src,image_name
"Confessions of a Shopaholic (Shopaholic, #1)",https://www.goodreads.com/book/show/9416.Confessions_of_a_Shopaholic,Sophie Kinsella,3.69,748050,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546503932i/9416._SX50_.jpg,cover_243.png
A Gentleman in Moscow,https://www.goodreads.com/book/show/34066798-a-gentleman-in-moscow,Amor Towles,4.33,535137,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551480896i/34066798._SY75_.jpg,cover_244.png
The Husband's Secret,https://www.goodreads.com/book/show/17802724-the-husband-s-secret,Liane Moriarty,3.95,668720,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460577225i/17802724._SY75_.jpg,cover_245.png
Watchmen,https://www.goodreads.com/book/show/472331.Watchmen,Alan Moore,4.38,555664,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442239711i/472331._SY75_.jpg,cover_246.png
The Memory Keeper's Daughter,https://www.goodreads.com/book/show/10441.The_Memory_Keeper_s_Daughter,Kim Edwards,3.70,599307,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631287935i/10441._SY75_.jpg,cover_247.png
Divine Secrets of the Ya-Ya Sisterhood,https://www.goodreads.com/book/show/137791.Divine_Secrets_of_the_Ya_Ya_Sisterhood,Rebecca Wells,3.85,556228,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408313524i/137791._SY75_.jpg,cover_248.png
"Artemis Fowl (Artemis Fowl, #1)",https://www.goodreads.com/book/show/249747.Artemis_Fowl,Eoin Colfer,3.86,545416,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630661894i/249747._SX50_.jpg,cover_249.png
Coraline,https://www.goodreads.com/book/show/17061.Coraline,Neil Gaiman,4.12,685844,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493497435i/17061._SY75_.jpg,cover_250.png
"Six of Crows (Six of Crows, #1)",https://www.goodreads.com/book/show/23437156-six-of-crows,Leigh Bardugo,4.49,932559,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1651710803i/23437156._SY75_.jpg,cover_251.png
"Fifty Shades Darker (Fifty Shades, #2)",https://www.goodreads.com/book/show/11857408-fifty-shades-darker,E.L. James,3.83,904588,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631260114i/11857408._SY75_.jpg,cover_252.png
A Walk to Remember,https://www.goodreads.com/book/show/35545737-a-walk-to-remember,Nicholas Sparks,4.20,802203,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498755310i/35545737._SY75_.jpg,cover_253.png
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,https://www.goodreads.com/book/show/36072.The_7_Habits_of_Highly_Effective_People,Stephen R. Covey,4.16,735504,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421842784i/36072._SY75_.jpg,cover_254.png
"City of Ashes (The Mortal Instruments, #2)",https://www.goodreads.com/book/show/1582996.City_of_Ashes,Cassandra Clare,4.11,929489,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730356i/1582996._SY75_.jpg,cover_255.png
"Murder on the Orient Express (Hercule Poirot, #10)",https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express,Agatha Christie,4.20,615597,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486131451i/853510._SY75_.jpg,cover_256.png
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,C.S. Lewis,4.27,647081,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661032875i/11127._SY75_.jpg,cover_257.png
"The Cat in the Hat (The Cat in the Hat, #1)",https://www.goodreads.com/book/show/233093.The_Cat_in_the_Hat,Dr. Seuss,4.19,537706,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468890477i/233093._SX50_.jpg,cover_258.png
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,https://www.goodreads.com/book/show/17851885-i-am-malala,Malala Yousafzai,4.15,572627,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375414895i/17851885._SY75_.jpg,cover_259.png
"Vampire Academy (Vampire Academy, #1)",https://www.goodreads.com/book/show/345627.Vampire_Academy,Richelle Mead,4.11,642482,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361098973i/345627._SY75_.jpg,cover_260.png
"Fifty Shades Freed (Fifty Shades, #3)",https://www.goodreads.com/book/show/13536860-fifty-shades-freed,E.L. James,3.83,851357,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336418837i/13536860._SY75_.jpg,cover_261.png
"Red, White & Royal Blue",https://www.goodreads.com/book/show/41150487-red-white-royal-blue,Casey McQuiston,4.09,969609,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566742512i/41150487._SY75_.jpg,cover_262.png
Speak,https://www.goodreads.com/book/show/39280444-speak,Laurie Halse Anderson,4.05,589758,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529044298i/39280444._SY75_.jpg,cover_263.png
Deception Point,https://www.goodreads.com/book/show/976.Deception_Point,Dan Brown,3.75,668277,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551277487i/976._SY75_.jpg,cover_264.png
I'm Glad My Mom Died,https://www.goodreads.com/book/show/59364173-i-m-glad-my-mom-died,Jennette McCurdy,4.47,912315,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1649286799i/59364173._SY75_.jpg,cover_265.png
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",https://www.goodreads.com/book/show/10194157-shadow-and-bone,Leigh Bardugo,3.93,949993,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339533695i/10194157._SX50_.jpg,cover_266.png
"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",https://www.goodreads.com/book/show/38359036-the-tattooist-of-auschwitz,Heather Morris,4.30,917772,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525962117i/38359036._SY75_.jpg,cover_267.png
"The Inheritance Games (The Inheritance Games, #1)",https://www.goodreads.com/book/show/52439531-the-inheritance-games,Jennifer Lynn Barnes,4.17,676092,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587396413i/52439531._SY75_.jpg,cover_268.png
